repositoryOrigin;repositoryPath;repositoryBranch;scmType;repositoryLink;displayName;description;recipeType;options
github.com;openrewrite/rewrite;main;GITHUB;https://github.com/openrewrite/rewrite/blob/main;Stylize Groovy code to omit parentheses;Omit parentheses for last argument lambdas in Groovy code.;Java;[]
github.com;openrewrite/rewrite;main;GITHUB;https://github.com/openrewrite/rewrite/blob/main;Format Groovy code;Format Groovy code using a standard comprehensive set of Groovy formatting recipes.;Java;[]
github.com;openrewrite/rewrite;main;GITHUB;https://github.com/openrewrite/rewrite/blob/main;Move a closure which is the last argument of a method invocation out of parentheses;Groovy allows a shorthand syntax that allows a closure to be placed outside of parentheses.;Java;[]
github.com;openrewrite/rewrite;main;GITHUB;https://github.com/openrewrite/rewrite/blob/main;Groovy GString curly braces;;Java;[]
github.com;openrewrite/rewrite;main;GITHUB;https://github.com/openrewrite/rewrite/blob/main;Find instances of type `Quark`;`Quark` source files are pointers to the existence of a file without capturing any of the contents of the file.;Java;[]
github.com;openrewrite/rewrite;main;GITHUB;https://github.com/openrewrite/rewrite/blob/main;Rename a file;Rename a file while keeping it in the same directory.;Java;"[{""name"":""fileMatcher"",""displayName"":""File matcher"",""description"":""Matching files will be renamed. This is a glob expression."",""example"":""**/application-*.yml""},{""name"":""fileName"",""displayName"":""The renamed file name"",""description"":""Just the file name without the folder path that precedes it."",""example"":""application.yml""}]"
github.com;openrewrite/rewrite;main;GITHUB;https://github.com/openrewrite/rewrite/blob/main;Find source files with `ParseExceptionResult` markers;;Java;"[{""name"":""maxSnippetLength"",""displayName"":""Max snippet length"",""required"":false},{""name"":""parserType"",""displayName"":""Parser type"",""description"":""Only display failures from parsers with this simple name."",""required"":false,""example"":""YamlParser""},{""name"":""stackTrace"",""example"":""RuntimeException"",""displayName"":""Stack trace"",""description"":""Only mark stack traces with a message containing this text."",""required"":false}]"
github.com;openrewrite/rewrite;main;GITHUB;https://github.com/openrewrite/rewrite/blob/main;Is in repository;;Java;"[{""name"":""allowedRepositories"",""displayName"":""Allowed repositories"",""example"":""rewrite""}]"
github.com;openrewrite/rewrite;main;GITHUB;https://github.com/openrewrite/rewrite/blob/main;Find deserialization errors;Produces a data table collecting all deserialization errors of serialized LSTs.;Java;[]
github.com;openrewrite/rewrite;main;GITHUB;https://github.com/openrewrite/rewrite/blob/main;End of Line @ End of File (EOL @ EOF);;Java;[]
